State,District,Subdistt,T,Town.Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
10,230,1412,"10,230,1412",0,0,0,SUB-DISTRICT,Daniawan ,Rural,13346,75086,39416,35670,13684,7170,6514,20872,10882,9990,25,17,8,38280,23186,15094,36806,16230,20576,28979,18988,9991,23776,16064,7712,5248,4043,1205,14054,9104,4950,606,308,298,3868,2609,1259,5203,2924,2279,630,321,309,3116,1722,1394,269,135,134,1188,746,442,4600,2619,1981,564,295,269,2816,1594,1222,224,116,108,996,614,382,603,305,298,66,26,40,300,128,172,45,19,26,192,132,60,46107,20428,25679
10,230,1413,"10,230,1413",0,0,0,SUB-DISTRICT,Khusrupur,Rural,15404,93773,49255,44518,19037,9785,9252,21837,11417,10420,29,15,14,41454,25837,15617,52319,23418,28901,29819,22720,7099,22784,18812,3972,6076,5390,686,11062,8703,2359,513,401,112,5133,4318,815,7035,3908,3127,1126,614,512,2947,1715,1232,285,144,141,2677,1435,1242,5925,3313,2612,851,466,385,2750,1612,1138,259,127,132,2065,1108,957,1110,595,515,275,148,127,197,103,94,26,17,9,612,327,285,63954,26535,37419
10,230,1414,"10,230,1414",0,0,0,SUB-DISTRICT,Bakhtiarpur,Rural,27240,179485,95592,83893,35429,18654,16775,34048,18128,15920,101,50,51,83069,51516,31553,96416,44076,52340,53751,42831,10920,34806,29553,5253,11272,10293,979,13552,10791,2761,1230,931,299,8752,7538,1214,18945,13278,5667,1698,1270,428,11894,8309,3585,983,646,337,4370,3053,1317,16234,11543,4691,1351,1057,294,10317,7334,2983,838,570,268,3728,2582,1146,2711,1735,976,347,213,134,1577,975,602,145,76,69,642,471,171,125734,52761,72973
10,230,1415,"10,230,1415",0,0,0,SUB-DISTRICT,Athmalgola,Rural,13681,90964,48169,42795,17749,9227,8522,15554,8180,7374,44,20,24,45378,27886,17492,45586,20283,25303,26008,20883,5125,16278,14386,1892,6186,5805,381,4849,4148,701,642,367,275,4601,4066,535,9730,6497,3233,1308,878,430,6570,4379,2191,269,86,183,1583,1154,429,8899,5993,2906,1192,839,353,6102,4083,2019,243,79,164,1362,992,370,831,504,327,116,39,77,468,296,172,26,7,19,221,162,59,64956,27286,37670
10,230,1416,"10,230,1416",0,0,0,SUB-DISTRICT,Belchhi,Rural,10946,66165,34804,31361,12431,6347,6084,16515,8653,7862,8,5,3,30947,19351,11596,35218,15453,19765,22833,16106,6727,13955,11073,2882,4145,3513,632,7322,5879,1443,343,274,69,2145,1407,738,8878,5033,3845,607,333,274,6955,3946,3009,191,102,89,1125,652,473,7838,4488,3350,483,278,205,6314,3615,2699,138,81,57,903,514,389,1040,545,495,124,55,69,641,331,310,53,21,32,222,138,84,43332,18698,24634
10,230,1417,"10,230,1417",0,0,0,SUB-DISTRICT,Barh,Rural,23780,154878,82531,72347,30117,15806,14311,31094,16515,14579,521,265,256,74009,45726,28283,80869,36805,44064,48309,36073,12236,32119,25324,6795,7967,6293,1674,13831,10737,3094,1149,721,428,9172,7573,1599,16190,10749,5441,1541,1002,539,9165,6271,2894,735,429,306,4749,3047,1702,13513,9020,4493,1363,879,484,7325,5128,2197,617,367,250,4208,2646,1562,2677,1729,948,178,123,55,1840,1143,697,118,62,56,541,401,140,106569,46458,60111
10,230,1418,"10,230,1418",0,0,0,SUB-DISTRICT,Pandarak,Rural,23968,154613,81713,72900,30572,16032,14540,25394,13297,12097,20,13,7,73816,46037,27779,80797,35676,45121,53647,37927,15720,32687,25518,7169,7511,6582,929,16163,11800,4363,1012,647,365,8001,6489,1512,20960,12409,8551,1775,1028,747,15998,9531,6467,804,369,435,2383,1481,902,16662,10475,6187,1375,835,540,12925,8203,4722,629,292,337,1733,1145,588,4298,1934,2364,400,193,207,3073,1328,1745,175,77,98,650,336,314,100966,43786,57180
10,230,1419,"10,230,1419",0,0,0,SUB-DISTRICT,Ghoswari,Rural,11106,74898,39776,35122,14674,7581,7093,13580,7155,6425,2,2,0,30206,19704,10502,44692,20072,24620,32050,19521,12529,16896,10743,6153,2094,1362,732,12488,7833,4655,308,145,163,2006,1403,603,15154,8778,6376,853,441,412,11119,6242,4877,201,144,57,2981,1951,1030,13291,7901,5390,740,404,336,9824,5733,4091,163,112,51,2564,1652,912,1863,877,986,113,37,76,1295,509,786,38,32,6,417,299,118,42848,20255,22593
10,230,1420,"10,230,1420",0,0,0,SUB-DISTRICT,Mokameh,Rural,22873,136882,73026,63856,24030,12647,11383,21903,11701,10202,98,57,41,69292,41372,27920,67590,31654,35936,44345,33733,10612,28709,23098,5611,5145,4800,345,13437,10923,2514,2841,1248,1593,7286,6127,1159,15636,10635,5001,1567,1202,365,10152,7053,3099,877,335,542,3040,2045,995,13835,9299,4536,1186,888,298,9196,6365,2831,764,275,489,2689,1771,918,1801,1336,465,381,314,67,956,688,268,113,60,53,351,274,77,92537,39293,53244
10,229,1378,"10,229,1378",0,0,0,SUB-DISTRICT,Karai Parsurai,Rural,12380,73951,38305,35646,14108,7234,6874,15999,8248,7751,31,17,14,33822,21169,12653,40129,17136,22993,31059,19534,11525,17725,12445,5280,5426,4355,1071,7904,5613,2291,767,341,426,3628,2136,1492,13334,7089,6245,1626,966,660,9699,5076,4623,487,234,253,1522,813,709,11168,6136,5032,1344,839,505,8143,4424,3719,357,161,196,1324,712,612,2166,953,1213,282,127,155,1556,652,904,130,73,57,198,101,97,42892,18771,24121
10,229,1379,"10,229,1379",0,0,0,SUB-DISTRICT,Nagar Nausa,Rural,16805,94467,49319,45148,17566,9203,8363,23884,12442,11442,51,22,29,48999,29877,19122,45468,19442,26026,40217,24599,15618,27310,18501,8809,8015,5715,2300,14982,9596,5386,827,581,246,3486,2609,877,12907,6098,6809,1740,707,1033,9401,4451,4950,571,205,366,1195,735,460,10482,5228,5254,1224,558,666,7814,3932,3882,463,163,300,981,575,406,2425,870,1555,516,149,367,1587,519,1068,108,42,66,214,160,54,54250,24720,29530
10,229,1380,"10,229,1380",0,0,0,SUB-DISTRICT,Harnaut,Rural,28664,176140,92491,83649,33306,17184,16122,42917,22535,20382,76,42,34,87767,53946,33821,88373,38545,49828,65379,44268,21111,47123,34700,12423,11107,9497,1610,27582,19108,8474,1323,684,639,7111,5411,1700,18256,9568,8688,1963,927,1036,12490,6842,5648,1337,508,829,2466,1291,1175,14277,8185,6092,1493,797,696,9807,5853,3954,1064,426,638,1913,1109,804,3979,1383,2596,470,130,340,2683,989,1694,273,82,191,553,182,371,110761,48223,62538
10,229,1381,"10,229,1381",0,0,0,SUB-DISTRICT,Chandi,Rural,25823,152156,79124,73032,27991,14428,13563,35279,18296,16983,131,59,72,80558,49094,31464,71598,30030,41568,58480,37947,20533,38303,27413,10890,8998,7454,1544,21118,14190,6928,1731,999,732,6456,4770,1686,20177,10534,9643,2285,1140,1145,14340,7420,6920,1024,514,510,2528,1460,1068,17282,9345,7937,1942,1013,929,12328,6661,5667,853,450,403,2159,1221,938,2895,1189,1706,343,127,216,2012,759,1253,171,64,107,369,239,130,93676,41177,52499
10,229,1382,"10,229,1382",0,0,0,SUB-DISTRICT,Rahui,Rural,24397,144040,73926,70114,27522,14231,13291,37105,19138,17967,55,29,26,71484,43937,27547,72556,29989,42567,49084,33691,15393,33898,26410,7488,10592,9254,1338,16473,11679,4794,1322,950,372,5511,4527,984,15186,7281,7905,2106,956,1150,10149,4911,5238,573,197,376,2358,1217,1141,12767,6322,6445,1737,824,913,8500,4280,4220,479,159,320,2051,1059,992,2419,959,1460,369,132,237,1649,631,1018,94,38,56,307,158,149,94956,40235,54721
10,229,1383,"10,229,1383",0,0,0,SUB-DISTRICT,Bind,Rural,10391,61984,31714,30270,13173,6726,6447,13608,6970,6638,70,34,36,26539,16652,9887,35445,15062,20383,21427,14151,7276,13380,10037,3343,3542,3011,531,7047,5208,1839,539,318,221,2252,1500,752,8047,4114,3933,832,450,382,5116,2551,2565,484,155,329,1615,958,657,7219,3679,3540,715,404,311,4691,2326,2365,422,125,297,1391,824,567,828,435,393,117,46,71,425,225,200,62,30,32,224,134,90,40557,17563,22994
10,229,1384,"10,229,1384",0,0,0,SUB-DISTRICT,Sarmera,Rural,16435,97083,50583,46500,19273,10006,9267,22694,11782,10912,54,29,25,42846,26780,16066,54237,23803,30434,35942,23460,12482,18200,13493,4707,4378,3844,534,10878,7411,3467,473,313,160,2471,1925,546,17742,9967,7775,1394,917,477,14450,7939,6511,421,216,205,1477,895,582,14560,8545,6015,1123,771,352,11871,6830,5041,291,152,139,1275,792,483,3182,1422,1760,271,146,125,2579,1109,1470,130,64,66,202,103,99,61141,27123,34018
10,229,1385,"10,229,1385",0,0,0,SUB-DISTRICT,Asthawan ,Rural,27006,163938,84532,79406,31030,15948,15082,46066,23959,22107,120,66,54,79363,48565,30798,84575,35967,48608,54396,38343,16053,37886,28826,9060,9269,7767,1502,19555,13811,5744,1205,842,363,7857,6406,1451,16510,9517,6993,1588,860,728,10774,5962,4812,804,419,385,3344,2276,1068,14478,8518,5960,1356,737,619,9584,5411,4173,530,309,221,3008,2061,947,2032,999,1033,232,123,109,1190,551,639,274,110,164,336,215,121,109542,46189,63353
10,229,1386,"10,229,1386",0,0,0,SUB-DISTRICT,Bihar,Rural,33096,197221,102453,94768,36775,18944,17831,47601,24650,22951,78,42,36,96157,59772,36385,101064,42681,58383,68595,48230,20365,51075,38772,12303,17199,14147,3052,21620,15244,6376,1487,979,508,10769,8402,2367,17520,9458,8062,2787,1147,1640,11164,6092,5072,820,304,516,2749,1915,834,15532,8474,7058,2321,939,1382,10072,5539,4533,714,250,464,2425,1746,679,1988,984,1004,466,208,258,1092,553,539,106,54,52,324,169,155,128626,54223,74403
10,229,1387,"10,229,1387",0,0,0,SUB-DISTRICT,Noorsarai,Rural,28459,172351,89560,82791,31448,16274,15174,44958,23423,21535,58,32,26,90779,55680,35099,81572,33880,47692,63063,42387,20676,45794,34773,11021,11998,10219,1779,26241,18404,7837,1012,826,186,6543,5324,1219,17269,7614,9655,1889,787,1102,13012,5462,7550,469,242,227,1899,1123,776,14920,6691,8229,1413,638,775,11407,4825,6582,390,210,180,1710,1018,692,2349,923,1426,476,149,327,1605,637,968,79,32,47,189,105,84,109288,47173,62115
10,229,1388,"10,229,1388",0,0,0,SUB-DISTRICT,Tharthari ,Rural,11586,68393,35785,32608,12505,6531,5974,13704,7118,6586,29,13,16,34099,21394,12705,34294,14391,19903,27115,17126,9989,15634,11393,4241,4798,3917,881,8307,5719,2588,487,304,183,2042,1453,589,11481,5733,5748,1550,892,658,7576,3906,3670,432,185,247,1923,750,1173,10033,5032,5001,1314,791,523,6552,3383,3169,366,163,203,1801,695,1106,1448,701,747,236,101,135,1024,523,501,66,22,44,122,55,67,41278,18659,22619
10,229,1389,"10,229,1389",0,0,0,SUB-DISTRICT,Parbalpur,Rural,11315,70316,36686,33630,11927,6139,5788,9706,5010,4696,37,19,18,40998,24865,16133,29318,11821,17497,32225,19580,12645,21225,14081,7144,5798,4275,1523,10598,6606,3992,1003,585,418,3826,2615,1211,11000,5499,5501,1566,932,634,6426,3083,3343,1039,435,604,1969,1049,920,8553,4421,4132,1257,810,447,5257,2571,2686,493,227,266,1546,813,733,2447,1078,1369,309,122,187,1169,512,657,546,208,338,423,236,187,38091,17106,20985
10,229,1390,"10,229,1390",0,0,0,SUB-DISTRICT,Hilsa,Rural,24528,146257,76172,70085,27626,14527,13099,28921,15146,13775,56,28,28,74984,46730,28254,71273,29442,41831,60776,37331,23445,39471,26477,12994,11061,8778,2283,20647,13435,7212,1710,715,995,6053,3549,2504,21305,10854,10451,4027,2255,1772,13046,6462,6584,1173,654,519,3059,1483,1576,18143,9331,8812,3549,2063,1486,11190,5595,5595,732,415,317,2672,1258,1414,3162,1523,1639,478,192,286,1856,867,989,441,239,202,387,225,162,85481,38841,46640
10,229,1391,"10,229,1391",0,0,0,SUB-DISTRICT,Ekangarsarai,Rural,27001,164542,85859,78683,27808,14519,13289,28132,14686,13446,130,57,73,94098,57335,36763,70444,28524,41920,62689,40500,22189,43364,30626,12738,11546,9328,2218,19776,13802,5974,2543,1242,1301,9499,6254,3245,19325,9874,9451,2481,1023,1458,12448,6745,5703,1123,373,750,3273,1733,1540,16219,8352,7867,2026,831,1195,10258,5664,4594,981,315,666,2954,1542,1412,3106,1522,1584,455,192,263,2190,1081,1109,142,58,84,319,191,128,101853,45359,56494
10,229,1392,"10,229,1392",0,0,0,SUB-DISTRICT,Islampur,Rural,30608,196696,102578,94118,36060,18768,17292,37260,19319,17941,72,41,31,103359,63502,39857,93337,39076,54261,78397,49674,28723,56363,40116,16247,16438,13132,3306,27789,19092,8697,2566,1321,1245,9570,6571,2999,22034,9558,12476,2798,1327,1471,11746,5225,6521,2788,823,1965,4702,2183,2519,17920,7761,10159,2181,1045,1136,10084,4398,5686,2160,601,1559,3495,1717,1778,4114,1797,2317,617,282,335,1662,827,835,628,222,406,1207,466,741,118299,52904,65395
10,229,1393,"10,229,1393",0,0,0,SUB-DISTRICT,Ben,Rural,15251,87387,45549,41838,15199,7809,7390,17391,9029,8362,12,7,5,46645,28209,18436,40742,17340,23402,35243,21732,13511,27159,17583,9576,6945,5391,1554,15366,9776,5590,1110,436,674,3738,1980,1758,8084,4149,3935,872,389,483,5055,2819,2236,498,156,342,1659,785,874,7250,3718,3532,776,333,443,4657,2631,2026,381,97,284,1436,657,779,834,431,403,96,56,40,398,188,210,117,59,58,223,128,95,52144,23817,28327
10,229,1394,"10,229,1394",0,0,0,SUB-DISTRICT,Rajgir,Rural,14679,88596,46184,42412,15935,8300,7635,23506,12207,11299,36,22,14,44150,26706,17444,44446,19478,24968,34268,22073,12195,25337,18219,7118,7653,5874,1779,13663,9199,4464,392,294,98,3629,2852,777,8931,3854,5077,1709,749,960,5480,2230,3250,348,152,196,1394,723,671,7162,3255,3907,1180,541,639,4608,1991,2617,249,121,128,1125,602,523,1769,599,1170,529,208,321,872,239,633,99,31,68,269,121,148,54328,24111,30217
10,229,1395,"10,229,1395",0,0,0,SUB-DISTRICT,Silao,Rural,20613,125575,65256,60319,21810,11259,10551,34619,17895,16724,24,15,9,65157,39479,25678,60418,25777,34641,44845,30576,14269,34565,24881,9684,10298,8593,1705,18279,11793,6486,953,606,347,5035,3889,1146,10280,5695,4585,1788,1101,687,6589,3516,3073,411,202,209,1492,876,616,8934,4877,4057,1603,963,640,5761,3055,2706,327,158,169,1243,701,542,1346,818,528,185,138,47,828,461,367,84,44,40,249,175,74,80730,34680,46050
10,229,1396,"10,229,1396",0,0,0,SUB-DISTRICT,Giriak,Rural,15584,96845,50124,46721,17959,9318,8641,22152,11317,10835,93,50,43,48123,29198,18925,48722,20926,27796,34168,23369,10799,25921,18998,6923,8149,6006,2143,10641,7444,3197,829,662,167,6302,4886,1416,8247,4371,3876,861,440,421,4776,2309,2467,562,235,327,2048,1387,661,7232,3962,3270,765,390,375,4195,2091,2104,439,192,247,1833,1289,544,1015,409,606,96,50,46,581,218,363,123,43,80,215,98,117,62677,26755,35922
10,229,1397,"10,229,1397",0,0,0,SUB-DISTRICT,Katrisarai,Rural,7158,41821,21528,20293,7192,3658,3534,9642,4893,4749,11,6,5,22264,13633,8631,19557,7895,11662,15366,10110,5256,11957,8296,3661,3207,2561,646,6722,4415,2307,206,116,90,1822,1204,618,3409,1814,1595,489,287,202,2338,1184,1154,81,42,39,501,301,200,2206,1150,1056,423,250,173,1303,614,689,48,25,23,432,261,171,1203,664,539,66,37,29,1035,570,465,33,17,16,69,40,29,26455,11418,15037
10,228,1372,"10,228,1372",0,0,0,SUB-DISTRICT,Barbigha,Rural,14182,90092,46365,43727,17013,8671,8342,23061,11844,11217,137,66,71,48336,28702,19634,41756,17663,24093,32298,21656,10642,17927,13218,4709,5067,4051,1016,8505,5814,2691,572,446,126,3783,2907,876,14371,8438,5933,2285,1591,694,8952,5054,3898,708,290,418,2426,1503,923,11506,7124,4382,1992,1438,554,6840,4127,2713,572,240,332,2102,1319,783,2865,1314,1551,293,153,140,2112,927,1185,136,50,86,324,184,140,57794,24709,33085
10,228,1373,"10,228,1373",0,0,0,SUB-DISTRICT,Shekhopur Sarai,Rural,10944,67481,35189,32292,11851,6163,5688,14655,7630,7025,57,35,22,38970,22651,16319,28511,12538,15973,25009,16710,8299,15762,11209,4553,4254,3789,465,7727,4884,2843,959,473,486,2822,2063,759,9247,5501,3746,1279,803,476,6145,3830,2315,556,157,399,1267,711,556,8289,5036,3253,1015,685,330,5685,3581,2104,459,137,322,1130,633,497,958,465,493,264,118,146,460,249,211,97,20,77,137,78,59,42472,18479,23993
10,228,1374,"10,228,1374",0,0,0,SUB-DISTRICT,Sheikhpura,Rural,21590,136084,70367,65717,27026,13957,13069,28269,14570,13699,107,58,49,66443,40081,26362,69641,30286,39355,47494,32097,15397,30883,23152,7731,9196,8167,1029,14362,9834,4528,1151,470,681,6174,4681,1493,16611,8945,7666,3299,2215,1084,9410,4790,4620,846,427,419,3056,1513,1543,13487,7566,5921,2872,1978,894,7287,3915,3372,650,328,322,2678,1345,1333,3124,1379,1745,427,237,190,2123,875,1248,196,99,97,378,168,210,88590,38270,50320
10,228,1375,"10,228,1375",0,0,0,SUB-DISTRICT,Ghat Kusumbha,Rural,7323,48346,25068,23278,10544,5460,5084,8950,4652,4298,30,15,15,22909,14285,8624,25437,10783,14654,17777,11175,6602,14977,10201,4776,4527,3516,1011,9143,5790,3353,154,73,81,1153,822,331,2800,974,1826,490,145,345,1771,689,1082,54,23,31,485,117,368,2444,855,1589,424,111,313,1531,620,911,43,20,23,446,104,342,356,119,237,66,34,32,240,69,171,11,3,8,39,13,26,30569,13893,16676
10,228,1376,"10,228,1376",0,0,0,SUB-DISTRICT,Chewara,Rural,11847,73267,37362,35905,14777,7548,7229,14692,7443,7249,121,52,69,35810,21350,14460,37457,16012,21445,27424,17297,10127,18401,13589,4812,6885,5361,1524,8395,5949,2446,735,478,257,2386,1801,585,9023,3708,5315,1958,667,1291,5370,2353,3017,454,129,325,1241,559,682,7153,2975,4178,1517,495,1022,4267,1894,2373,351,106,245,1018,480,538,1870,733,1137,441,172,269,1103,459,644,103,23,80,223,79,144,45843,20065,25778
10,228,1377,"10,228,1377",0,0,0,SUB-DISTRICT,Ariari,Rural,17019,112070,58009,54061,21839,11176,10663,23616,12166,11450,55,25,30,52027,32055,19972,60043,25954,34089,43300,27317,15983,28016,19194,8822,10053,7422,2631,13229,8527,4702,776,571,205,3958,2674,1284,15284,8123,7161,2096,1108,988,8834,4955,3879,804,384,420,3550,1676,1874,13061,7028,6033,1779,954,825,7599,4317,3282,506,271,235,3177,1486,1691,2223,1095,1128,317,154,163,1235,638,597,298,113,185,373,190,183,68770,30692,38078
10,227,1365,"10,227,1365",0,0,0,SUB-DISTRICT,Barahiya,Rural,12875,85945,45809,40136,15884,8378,7506,10027,5344,4683,20,11,9,45390,27901,17489,40555,17908,22647,28790,20883,7907,20046,15806,4240,5794,5130,664,9867,7280,2587,741,433,308,3644,2963,681,8744,5077,3667,890,616,274,5037,3049,1988,1131,329,802,1686,1083,603,7298,4347,2951,790,545,245,4281,2529,1752,696,261,435,1531,1012,519,1446,730,716,100,71,29,756,520,236,435,68,367,155,71,84,57155,24926,32229
10,227,1366,"10,227,1366",0,0,0,SUB-DISTRICT,Pipariya,Rural,8345,51496,27369,24127,9252,4782,4470,4628,2428,2200,254,121,133,25811,15550,10261,25685,11819,13866,16990,12520,4470,10708,8415,2293,3791,3530,261,4484,3261,1223,985,488,497,1448,1136,312,6282,4105,2177,1137,1027,110,3860,2293,1567,360,146,214,925,639,286,5714,3727,1987,1097,991,106,3557,2095,1462,295,110,185,765,531,234,568,378,190,40,36,4,303,198,105,65,36,29,160,108,52,34506,14849,19657
10,227,1367,"10,227,1367",0,0,0,SUB-DISTRICT,Surajgarha,Rural,48654,290998,154509,136489,52878,27551,25327,42225,22424,19801,5718,2919,2799,150146,90281,59865,140852,64228,76624,92810,69593,23217,51706,41740,9966,13167,11344,1823,20296,15841,4455,1749,1097,652,16494,13458,3036,41104,27853,13251,5720,4026,1694,26932,18148,8784,1556,780,776,6896,4899,1997,34289,24065,10224,4795,3416,1379,22396,15681,6715,1069,613,456,6029,4355,1674,6815,3788,3027,925,610,315,4536,2467,2069,487,167,320,867,544,323,198188,84916,113272
10,227,1368,"10,227,1368",0,0,0,SUB-DISTRICT,Lakhisarai,Rural,19595,121216,63143,58073,24577,12802,11775,20477,10560,9917,239,127,112,54955,33250,21705,66261,29893,36368,38284,28804,9480,28818,22644,6174,9180,7937,1243,12986,9277,3709,786,585,201,5866,4845,1021,9466,6160,3306,1560,1102,458,5958,3670,2288,361,161,200,1587,1227,360,7266,4774,2492,1037,762,275,4559,2826,1733,304,128,176,1366,1058,308,2200,1386,814,523,340,183,1399,844,555,57,33,24,221,169,52,82932,34339,48593
10,203,1021,"10,203,1021",0,0,0,SUB-DISTRICT,Madhubani,Rural,14613,89608,46879,42729,17353,8900,8453,12130,6382,5748,2082,1115,967,32267,21355,10912,57341,25524,31817,36845,22992,13853,18162,13879,4283,4344,3560,784,12412,9298,3114,182,130,52,1224,891,333,18683,9113,9570,1771,834,937,15671,7660,8011,235,113,122,1006,506,500,15831,8110,7721,1538,731,807,13264,6851,6413,177,88,89,852,440,412,2852,1003,1849,233,103,130,2407,809,1598,58,25,33,154,66,88,52763,23887,28876
10,227,1370,"10,227,1370",0,0,0,SUB-DISTRICT,Ramgarh Chowk,Rural,13910,85105,44056,41049,16788,8754,8034,16897,8703,8194,94,55,39,43617,25610,18007,41488,18446,23042,28548,20343,8205,16346,13726,2620,7754,6971,783,6443,4963,1480,293,253,40,1856,1539,317,12202,6617,5585,2061,1144,917,8481,4551,3930,554,194,360,1106,728,378,10292,5804,4488,1696,947,749,7206,4052,3154,437,157,280,953,648,305,1910,813,1097,365,197,168,1275,499,776,117,37,80,153,80,73,56557,23713,32844
10,227,1371,"10,227,1371",0,0,0,SUB-DISTRICT,Halsi,Rural,18096,115997,60118,55879,23021,11871,11150,25432,13219,12213,91,46,45,55183,33349,21834,60814,26769,34045,43750,28136,15614,24565,18545,6020,9329,7830,1499,11859,8154,3705,626,413,213,2751,2148,603,19185,9591,9594,3155,1562,1593,14123,7129,6994,550,159,391,1357,741,616,14958,7735,7223,2583,1285,1298,10985,5745,5240,358,120,238,1032,585,447,4227,1856,2371,572,277,295,3138,1384,1754,192,39,153,325,156,169,72247,31982,40265
10,226,1356,"10,226,1356",0,0,0,SUB-DISTRICT,Munger,Rural,25643,134089,71761,62328,24854,12781,12073,13334,7075,6259,128,59,69,74055,43970,30085,60034,27791,32243,37967,30929,7038,21897,19281,2616,3285,3055,230,7289,6077,1212,920,704,216,10403,9445,958,16070,11648,4422,1147,821,326,9449,7068,2381,1016,294,722,4458,3465,993,13307,10050,3257,910,697,213,7798,6106,1692,760,211,549,3839,3036,803,2763,1598,1165,237,124,113,1651,962,689,256,83,173,619,429,190,96122,40832,55290
10,226,1357,"10,226,1357",0,0,0,SUB-DISTRICT,Bariarpur,Rural,19847,104437,56090,48347,18949,9933,9016,15682,8495,7187,837,423,414,54286,33007,21279,50151,23083,27068,30780,24234,6546,15279,13284,1995,2446,2218,228,7070,6019,1051,235,182,53,5528,4865,663,15501,10950,4551,998,782,216,10579,6881,3698,266,178,88,3658,3109,549,11922,8489,3433,698,540,158,8344,5530,2814,180,124,56,2700,2295,405,3579,2461,1118,300,242,58,2235,1351,884,86,54,32,958,814,144,73657,31856,41801
10,226,1358,"10,226,1358",0,0,0,SUB-DISTRICT,Jamalpur,Rural,19498,102896,54891,48005,17742,9235,8507,14502,7756,6746,99,49,50,60520,35933,24587,42376,18958,23418,27345,23577,3768,14032,12376,1656,1563,1379,184,3149,2435,714,353,312,41,8967,8250,717,13313,11201,2112,981,714,267,5707,4707,1000,277,191,86,6348,5589,759,11206,9535,1671,834,599,235,4707,3969,738,212,153,59,5453,4814,639,2107,1666,441,147,115,32,1000,738,262,65,38,27,895,775,120,75551,31314,44237
10,226,1359,"10,226,1359",0,0,0,SUB-DISTRICT,Dharhara,Rural,26010,131753,70489,61264,24026,12554,11472,20139,10612,9527,6393,3290,3103,70685,43135,27550,61068,27354,33714,41623,31000,10623,19001,15587,3414,2336,1954,382,7798,6480,1318,1043,571,472,7824,6582,1242,22622,15413,7209,2100,1708,392,14975,10048,4927,1166,543,623,4381,3114,1267,16750,11489,5261,1331,1038,293,11193,7510,3683,854,462,392,3372,2479,893,5872,3924,1948,769,670,99,3782,2538,1244,312,81,231,1009,635,374,90130,39489,50641
10,226,1360,"10,226,1360",0,0,0,SUB-DISTRICT,Kharagpur,Rural,35753,180920,96353,84567,32070,16527,15543,31783,16886,14897,10842,5597,5245,91027,56419,34608,89893,39934,49959,62443,45172,17271,29095,23616,5479,5575,4872,703,15513,12217,3296,1000,654,346,7007,5873,1134,33348,21556,11792,3338,2484,854,24303,15420,8883,1333,720,613,4374,2932,1442,27007,18443,8564,2834,2100,734,19734,13316,6418,955,548,407,3484,2479,1005,6341,3113,3228,504,384,120,4569,2104,2465,378,172,206,890,453,437,118477,51181,67296
10,226,1361,"10,226,1361",0,0,0,SUB-DISTRICT,Asarganj,Rural,13365,68053,36371,31682,12559,6542,6017,9212,4901,4311,40,22,18,36619,21873,14746,31434,14498,16936,24258,16996,7262,10741,9218,1523,1490,1249,241,5080,4339,741,393,297,96,3778,3333,445,13517,7778,5739,1400,794,606,9938,5501,4437,501,205,296,1678,1278,400,11452,6918,4534,1132,700,432,8508,4930,3578,371,152,219,1441,1136,305,2065,860,1205,268,94,174,1430,571,859,130,53,77,237,142,95,43795,19375,24420
10,226,1362,"10,226,1362",0,0,0,SUB-DISTRICT,Tarapur,Rural,17948,91465,48550,42915,16397,8450,7947,12181,6392,5789,39,26,13,52181,30705,21476,39284,17845,21439,31342,22394,8948,16312,13294,3018,2214,1814,400,8691,6975,1716,303,198,105,5104,4307,797,15030,9100,5930,952,667,285,10200,5766,4434,787,293,494,3091,2374,717,11401,7277,4124,710,530,180,7469,4466,3003,573,236,337,2649,2045,604,3629,1823,1806,242,137,105,2731,1300,1431,214,57,157,442,329,113,60123,26156,33967
