State,District,Subdistt,T,Town.Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
10,238,1530,"10,238,1530",0,0,0,SUB-DISTRICT,Jhajha,Rural,37503,215386,111775,103611,41221,20954,20267,22352,11562,10790,11402,5848,5554,92004,60202,31802,123382,51573,71809,96822,55543,41279,60096,37685,22411,13254,11480,1774,14207,11308,2899,15916,4700,11216,16719,10197,6522,36726,17858,18868,2958,2056,902,14081,9183,4898,11736,2662,9074,7951,3957,3994,31065,15962,15103,2706,1902,804,12416,8248,4168,9331,2307,7024,6612,3505,3107,5661,1896,3765,252,154,98,1665,935,730,2405,355,2050,1339,452,887,118564,56232,62332
10,238,1531,"10,238,1531",0,0,0,SUB-DISTRICT,Gidhaur,Rural,14150,77558,40720,36838,14153,7237,6916,14887,7701,7186,530,247,283,40272,25274,14998,37286,15446,21840,31887,19947,11940,25123,16800,8323,5675,4983,692,10587,8055,2532,5383,1002,4381,3478,2760,718,6764,3147,3617,1056,510,546,3599,1759,1840,1189,317,872,920,561,359,5656,2672,2984,806,398,408,3069,1525,1544,1042,276,766,739,473,266,1108,475,633,250,112,138,530,234,296,147,41,106,181,88,93,45671,20773,24898
10,238,1532,"10,238,1532",0,0,0,SUB-DISTRICT,Khaira,Rural,39993,235761,123188,112573,44351,22706,21645,39508,20346,19162,4686,2396,2290,117156,72545,44611,118605,50643,67962,93985,60468,33517,56758,40341,16417,14000,11298,2702,27241,20752,6489,5590,1889,3701,9927,6402,3525,37227,20127,17100,5341,3335,2006,20218,12517,7701,6289,1063,5226,5379,3212,2167,31307,16903,14404,4493,2759,1734,17164,10649,6515,5232,850,4382,4418,2645,1773,5920,3224,2696,848,576,272,3054,1868,1186,1057,213,844,961,567,394,141776,62720,79056
10,238,1533,"10,238,1533",0,0,0,SUB-DISTRICT,Sono,Rural,35848,204587,105535,99052,39611,20088,19523,27910,14241,13669,6518,3260,3258,88149,56747,31402,116438,48788,67650,93384,52979,40405,67354,41614,25740,12205,10326,1879,26156,21947,4209,21065,3160,17905,7928,6181,1747,26030,11365,14665,2757,1699,1058,10784,6736,4048,9327,1081,8246,3162,1849,1313,20628,9379,11249,2280,1476,804,7933,5341,2592,7887,886,7001,2528,1676,852,5402,1986,3416,477,223,254,2851,1395,1456,1440,195,1245,634,173,461,111203,52556,58647
10,238,1534,"10,238,1534",0,0,0,SUB-DISTRICT,Chakai,Rural,41725,235188,122790,112398,41904,21336,20568,40755,21128,19627,40523,20665,19858,110434,70952,39482,124754,51838,72916,107517,65263,42254,57416,41398,16018,22982,17945,5037,25570,17325,8245,2279,882,1397,6585,5246,1339,50101,23865,26236,15902,6949,8953,26564,13591,12973,2982,779,2203,4653,2546,2107,40174,20029,20145,12399,5440,6959,22615,11955,10660,2005,596,1409,3155,2038,1117,9927,3836,6091,3503,1509,1994,3949,1636,2313,977,183,794,1498,508,990,127671,57527,70144
10,237,1511,"10,237,1511",0,0,0,SUB-DISTRICT,Nardiganj,Rural,18515,124716,64390,60326,22520,11552,10968,34853,17926,16927,83,44,39,56336,34971,21365,68380,29419,38961,51266,31310,19956,33290,23112,10178,10162,8190,1972,16794,10650,6144,1204,725,479,5130,3547,1583,17976,8198,9778,3122,1241,1881,10929,5139,5790,1431,446,985,2494,1372,1122,14008,6387,7621,2328,953,1375,8746,4055,4691,981,292,689,1953,1087,866,3968,1811,2157,794,288,506,2183,1084,1099,450,154,296,541,285,256,73450,33080,40370
10,237,1512,"10,237,1512",0,0,0,SUB-DISTRICT,Nawada,Rural,31829,202723,104900,97823,36394,18769,17625,51653,26688,24965,46,24,22,98431,59647,38784,104292,45253,59039,74315,49476,24839,53121,38425,14696,18239,13959,4280,21946,14677,7269,2891,1630,1261,10045,8159,1886,21194,11051,10143,3417,1246,2171,12803,6504,6299,1121,690,431,3853,2611,1242,17823,9394,8429,2995,1080,1915,10446,5391,5055,935,598,337,3447,2325,1122,3371,1657,1714,422,166,256,2357,1113,1244,186,92,94,406,286,120,128408,55424,72984
10,237,1513,"10,237,1513",0,0,0,SUB-DISTRICT,Warisaliganj,Rural,24362,153067,79533,73534,26789,13775,13014,36121,18588,17533,319,153,166,74342,45467,28875,78725,34066,44659,59646,38942,20704,38369,27603,10766,13720,10921,2799,17402,11905,5497,1538,955,583,5709,3822,1887,21277,11339,9938,3972,2111,1861,12591,6779,5812,1879,799,1080,2835,1650,1185,16588,8956,7632,3223,1734,1489,9913,5370,4543,1062,445,617,2390,1407,983,4689,2383,2306,749,377,372,2678,1409,1269,817,354,463,445,243,202,93421,40591,52830
10,237,1514,"10,237,1514",0,0,0,SUB-DISTRICT,Kashi Chak,Rural,11256,71886,37671,34215,12509,6513,5996,18593,9695,8898,64,29,35,37770,22650,15120,34116,15021,19095,27406,18175,9231,16263,12392,3871,5400,4737,663,7655,5138,2517,421,267,154,2787,2250,537,11143,5783,5360,1673,819,854,7871,4221,3650,617,148,469,982,595,387,8999,4940,4059,1510,760,750,6247,3542,2705,365,101,264,877,537,340,2144,843,1301,163,59,104,1624,679,945,252,47,205,105,58,47,44480,19496,24984
10,237,1515,"10,237,1515",0,0,0,SUB-DISTRICT,Pakribarawan,Rural,27622,183066,94871,88195,33716,17365,16351,39495,20486,19009,152,74,78,80822,49685,31137,102244,45186,57058,70698,45467,25231,42588,29956,12632,15359,11198,4161,19151,12655,6496,1567,939,628,6511,5164,1347,28110,15511,12599,4732,2546,2186,17226,9930,7296,1591,686,905,4561,2349,2212,23127,13138,9989,4008,2283,1725,14212,8359,5853,1074,496,578,3833,2000,1833,4983,2373,2610,724,263,461,3014,1571,1443,517,190,327,728,349,379,112368,49404,62964
